target,text
0,sleep nt feel well
0,come aftr lt decim gt clean hous
0,almost see u sec
0,yeah probabl earlier
0,hello love what did get interview today are happi are good boy do think are miss
0,2mro come gym machan goodnight
1,free ring tone text 87131 then everi week get new tone 0870737910216yr
1,camera you award sipix digit camera call 09061221066 fromm landlin deliveri within 28 day
1,chase us sinc sept definit pay thank inform we ignor kath manchest
0,small problem auction punj ask tiwari
1,we know someon know fanci call 09058097218 find pobox 6 ls15hb 150p
0,still chanc if search hard get let tri
0,happen adventur
0,eat old airport road but 630 oredi got lot pple
0,sent ur email id soon
0,hey still want go yogasana coz end cine go bath hav steam bath
0,two fundament cool life
0,my parent my kidz my friend n my colleagu all scream surpris i wait sofa nake
1,sorri i miss call let talk time i 07090201529
0,ok ìï finish soon
0,u dun say earli hor u c alreadi say
0,get gandhipuram walk cross cut road right side lt gt street road turn first right
0,hi dear call urgnt i know what problem you want work problem least tell wate repli
0,pl help tell ashley cant find number oh
0,umma did say anyth
0,dont let studi stress l8r
0,possibl
0,or better still catch let ask sell lt gt
0,wen u finish fanci meetin up wiv u all tonit as i need a break from dabook did 4 hr last today of wrk
0,no i good movi ok i leav hourish
0,we know taj mahal symbol love but lesser known fact 1 mumtaz shahjahan 4th wife 7 wife 2 shahjahan kill mumtaz husband marri 3 mumtaz die lt gt th deliveri 4 he marri mumtaz sister question aris hell love great
0,k k give treat
0,ok chines food way when i get fat pay lipo
0,i know complain num bettr directli go bsnl offc nd appli
0,uhhhhrmm isnt tb test bad your sick
0,goodmorn today late 2hr becaus back pain
0,rememb day
0,ok the theori test go book i think 21 may coz thought wan na go jiayin but isnt free
0,a bit ur smile hppnss drop ur tear sorrow part ur heart life heart like mine wil care u forevr goodfriend
0,what think one say clearli ok leav need ask i go come
0,i thk 530 lor but dunno get ticket wat u
0,i dont want hear philosophi just say happen
0,they talk that de they wont
0,tri someth dear you read someth exam
0,wa gr8 see messag so r u leav congrat dear what school wat r ur plan
0,you want go
0,if beliv come home
0,ye think i offic lap room think that last day i didnt shut
0,mah b i pick tomorrow
0,oh gei that happend tron mayb ill dl 3d
0,hurri i like three day
1,thank rington order refer number x29 your mobil charg should tone arriv pleas call custom servic 09065989180
1,pleas call amanda regard renew upgrad current handset free charg offer end today tel 0845 021 3680 subject t c
1,hungri gay guy feel hungri 4 call 08718730555 to stop text call 08712460324
1,romcapspam everyon around respond well presenc sinc warm outgo you bring real breath sunshin
1,buy space invad 4 chanc 2 win orig arcad game consol press 0 game arcad std wap charg see 4 term set no purchas
0,it time week ryan
0,cool we fun practic make babi
1,spjanuari male sale hot gay chat cheaper call 08709222922 nation rate cheap peak to stop text call 08712460324
0,that bit weird even suppos happen but good idea sure pub
1,25p 4 alfi moon children need song ur mob tell ur m8 txt tone chariti 8007 nokia poli chariti poli zed 08701417012 profit 2 chariti
0,in life face choic just toss coin becoz settl question but coin air u know heart hope gudni8
0,what one
0,i know u mean king havin credit i goin2b night night sweet only1mor sleep
1,free camera phone linerent 750 cross ntwk min price txt bundl deal also avbl call 08001950382 mf
1,urgent call 09066350750 landlin your complimentari 4 ibiza holiday cash await collect sae t cs po box 434 sk3 8wp 150 ppm
0,how possibl teach and
0,have seen back holbi
1,congratul u claim 2 vip row a ticket 2 c blu concert novemb blu gift guarante call 09061104276 claim ts cs
0,i wan earli lei me outsid wun b home earli neva mind
0,what i say explicitli told nora i know someon i probabl gon na bother
1,88800 89034 premium phone servic call 08718711108
0,do think about u have think about how use it that you have good ni8
0,how much get
0,i ca i number
0,how it littl difficult simpl way enter place
0,came look flat seem ok 50 is away alot wiv work got woman come
0,my uncl atlanta wish guy great semest
1,ye the place town meet excit adult singl uk txt chat 86688
0,sorri i call later
0,not tonight mate catch sleep thi new number way
0,wa realli good see day dudett miss
0,i want sent lt gt mesag today that sorri hurt
0,i take exam march 3
1,sppok ur mob halloween collect nokia logo pic messag plu free eeri tone txt card spook 8007
1,today vodafon number end 0089 last four digit select receiv award if number match pleas call 09063442151 claim award
0,lol u drunkard just hair moment yeah still 4 tonight wat plan
0,i search right word thank breather i promis wont take help grant fulfil promis you wonder bless time
0,pleas tell car key purs
0,you sure neighbor didnt pick
